teacher|Instructor|Default|allknowing|instructor
ta|Grader|Default|sadistic|grader
jjones|Jones|Jill|humble|student
gwashing|Washington|George|humble|student
jadams1|Adams|John|humble|student
tjeffers|Jefferson|Thomas|humble|student
jmadison|Madison|James|humble|student
jmonroe|Monroe|James|humble|student
jadams2|Adams|John|humble|student
ajackson|Jackson|Andrew|humble|student
mvanbure|VanBuren|Martin|humble|student
wharriso|Harrison|William|humble|student
jtyler|Tyler|John|humble|student
jpolk|Polk|James|humble|student
ztaylor|Taylor|Zachary|humble|student
mfillmor|Fillmore|Millard|humble|student
fpierce|Pierce|Franklin|humble|student
jbuchana|Buchanan|James|humble|student
alincoln|Lincoln|Abraham|humble|student
ajohnson|Johnson|Andrew|humble|student
ugrant|Grant|Ulysses|humble|student
rhayes|Hayes|Rutherford|humble|student
jgarfiel|Garfield|James|humble|student
carthur|Arthur|Chester|humble|student
gclevela|Cleveland|Grover|humble|student
bharriso|Harrison|Benjamin|humble|student
wmckinle|McKinley|William|humble|student
trooseve|Roosevelt|Theodore|humble|student
wtaft|Taft|William|humble|student
wwilson|Wilson|Woodrow|humble|student
wharding|Harding|Warren|humble|student
ccoolidg|Coolidge|Calvin|humble|student
hhoover|Hoover|Herbert|humble|student
frooseve|Roosevelt|Franklin|humble|student
htruman|Truman|Harry|humble|student
deisenho|Eisenhower|Dwight|humble|student
jkennedy|Kennedy|John|humble|student
ljohnson|Johnson|Lyndon|humble|student
rnixon|Nixon|Richard|humble|student
gford|Ford|Gerald|humble|student
jcarter|Carter|Jimmy|humble|student
rreagan|Reagan|Ronald|humble|student
gbush1|Bush|George|humble|student
wclinton|Clinton|William|humble|student
gbush2|Bush|George|humble|student
